---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,2.63565106,2.45100472,-1.46946623,0.0249100932,0.0241760898,0.000991851558,1,1,
0.094295,2.62942576,2.4456484,0.279549547,0.0250713104,0.0241493864,0.0164799951,1,1,
0.102498,2.62270974,2.43943691,0.757011628,0.0255100706,0.0242217109,0.018387402,1,1,
0.110701,2.61685336,2.43308556,-0.354548784,0.0258164462,0.0242656407,0.0148777734,1,1,
0.118904,2.61270363,2.42731004,-0.410702841,0.0258204325,0.0240947746,0.0110629597,1,1,
0.127107,2.60955514,2.42213574,0.0631733146,0.0256356381,0.0237004286,0.0286873989,1,1,
0.13531,2.60714678,2.41766537,0.245826594,0.0254954487,0.023312335,0.0350962859,1,1,
0.143513,2.60494925,2.41369598,0.358973968,0.0255630601,0.0231859229,0.029831843,1,1,
0.151717,2.60353528,2.41041972,-0.809732353,0.0257514719,0.0233885673,0.0102999969,1,1,
0.15992,2.60294361,2.40806872,-0.263985107,0.0257751272,0.0237871841,0.0270088809,1,1,
0.168123,2.60307554,2.40709328,1.50601215,0.0255172514,0.0242028273,0.0447096164,1,1,
0.176326,2.60356034,2.40750394,-0.697653127,0.0251818846,0.0245316956,0.0197607349,1,1,
0.184529,2.60364226,2.40868792,-1.58970916,0.0250355508,0.0246625968,0.000686666463,1,1,
0.192732,2.60338488,2.41009062,1.78991058,0.0250703779,0.0244701832,0.0429548021,1,1,
0.200935,2.60272361,2.41131306,0.873516037,0.0250411435,0.0239168319,0.0444807276,1,1,
0.209138,2.60261036,2.41254786,-2.74086734,0.0247679159,0.0231875315,-0.00228888821,1,1,
0.217342,2.60315861,2.41337275,0.604266488,0.0243245771,0.0226358178,0.0357829524,1,1,
0.225545,2.60411808,2.41347969,2.93893246,0.0239702945,0.0225028641,0.0375377667,1,1,
0.233748,2.60435185,2.41227376,-2.61719108,0.0239353142,0.0227981981,0.00167851802,1,1,
0.241951,2.60284246,2.40943636,-1.69080172,0.0242329271,0.0233038932,0.00228888821,1,1,
0.250154,2.59993323,2.40513285,3.8287759,0.0246604091,0.0236644275,0.0564592425,1,1,
0.258357,2.59642799,2.39983848,-0.503860591,0.0249888953,0.0235611498,0.0126651814,1,1,
0.26656,2.59359793,2.39469475,-3.55517747,0.0252019457,0.02294539,-0.017014069,1,1,
0.274763,2.59130256,2.39033206,2.80755028,0.0253807143,0.0220650344,0.038758507,1,1,
0.282966,2.58929896,2.38735789,2.54142888,0.0255058642,0.0212684723,0.0334177679,1,1,
0.29117,2.58704042,2.38559077,-3.58149968,0.0255100392,0.0208454095,-0.0212103641,1,1,
0.299373,2.58448356,2.38449248,0.0887325663,0.025415298,0.0208762616,0.0247199927,1,1,
0.307576,2.58193693,2.38330712,4.70709861,0.0253225545,0.0212350697,0.053788873,1,1,
0.315779,2.57975245,2.38167996,-2.92405469,0.0252762222,0.0217807758,-0.0123599963,1,1,
0.323982,2.57858524,2.37992603,-3.09831538,0.0252184742,0.0224594479,0.00205999939,1,1,
