---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,2.33243011,2.30046213,-3.55830561,0.0217703054,0.0298042559,-0.0174718467,1,1,
0.094296,2.33186414,2.29915139,3.28119755,0.0220873311,0.0303804549,0.0408948027,1,1,
0.102499,2.3313488,2.2979965,1.97157201,0.0225179798,0.0310238633,0.0367748039,1,1,
0.110702,2.33070782,2.29686621,-3.57631153,0.0230396677,0.0312385489,-0.0336466567,1,1,
0.118905,2.3296803,2.2957884,0.59335612,0.0236027061,0.0308612084,0.0297555467,1,1,
0.127108,2.32837697,2.29490751,3.61453597,0.0241040985,0.0302804158,0.0556962798,1,1,
0.135311,2.3268593,2.29420026,-2.5778222,0.0242916997,0.030113035,-0.0168614765,1,1,
0.143515,2.32532733,2.29344092,-1.96440016,0.0239373854,0.0305622066,-0.00564592425,1,1,
0.151718,2.32404325,2.29253398,3.46583453,0.0231113814,0.0312371386,0.05241554,1,1,
0.159921,2.32289647,2.29118695,-0.145725883,0.022169139,0.0316023065,-0.00251777703,1,1,
0.168124,2.32185245,2.28935399,-3.09633168,0.021474413,0.0313924712,-0.0133518479,1,1,
0.176327,2.32052269,2.28696129,1.84263131,0.0211456093,0.0306770607,0.0505081332,1,1,
0.18453,2.31910029,2.28441901,1.58207953,0.0210698853,0.0297303876,0.0150303659,1,1,
0.192733,2.31761746,2.28198603,-2.38311411,0.0211236988,0.0289742535,-0.00488296152,1,1,
0.200936,2.31639141,2.28008621,-0.139469588,0.0212810594,0.0288840231,0.0220496231,1,1,
0.20914,2.31546895,2.27899712,2.02772607,0.0215086176,0.0296852092,0.0344859157,1,1,
0.217343,2.31463697,2.27867482,-0.955534532,0.0217554697,0.030995872,-0.00846888638,1,1,
0.225546,2.31383906,2.27899781,-1.15657521,0.0219655312,0.0319595142,0.0122837001,1,1,
0.233749,2.31280199,2.27931618,1.27529221,0.0220315855,0.0319219897,0.0393688772,1,1,
0.241952,2.31197644,2.27939954,0.127109592,0.0218566514,0.0310270197,0.00953703421,1,1,
0.250155,2.31140719,2.27903423,-0.837351604,0.0215805507,0.0300415642,0.00885036775,1,1,
0.258359,2.31143538,2.27854977,0.234000671,0.0215171016,0.0295347718,0.0222022156,1,1,
0.266562,2.31179369,2.27819252,0.245368816,0.0217562997,0.0294945302,0.00839259011,1,1,
0.274765,2.31195207,2.2779046,-0.0208288827,0.0220287037,0.0296147004,0.00923184912,1,1,
0.282968,2.31135891,2.27740784,-0.10872219,0.0220573874,0.0296430038,0.0206762902,1,1,
0.291171,2.30948839,2.27605339,-0.393230995,0.0218963955,0.0295053092,0.0144199957,1,1,
0.299374,2.30688828,2.27351623,0.272148808,0.0218062354,0.0292592466,0.00999481185,1,1,
0.307577,2.30387287,2.26976972,0.674687948,0.0219050669,0.0289934742,0.0382244331,1,1,
0.31578,2.30117974,2.26546884,-1.04228339,0.0220880003,0.028817246,0.00259407331,1,1,
0.323984,2.29902498,2.26127648,-0.376522111,0.0221875472,0.0288726996,0.0211340678,1,1,
0.332187,2.29772349,2.25802441,1.69057283,0.0221694252,0.0292248606,0.0416577654,1,1,
0.34039,2.29726053,2.25604065,-0.73648793,0.0221193712,0.0297330538,0.0167851802,1,1,
0.348593,2.29703712,2.25518625,-1.70896023,0.0220842429,0.0300986743,-0.00450148015,1,1,
0.356796,2.29663823,2.25502149,1.9308298,0.0220325551,0.0300177473,0.0448622089,1,1,
0.364999,2.29553711,2.25494355,0.79790643,0.0219480569,0.0293517082,0.0368511002,1,1,
0.373203,2.2942312,2.25492233,-2.76871548,0.0218855739,0.0283365807,-0.00480666524,1,1,
0.381406,2.29298291,2.25463831,0.737861263,0.0218515961,0.0274879302,0.0314340648,1,1,
0.389609,2.29210403,2.2541057,2.74536882,0.0217750686,0.0272005507,0.0541703543,1,1,
0.397812,2.29145418,2.25326286,-2.60742515,0.0216201236,0.0274784527,-0.00411999878,1,1,
0.406015,2.29066624,2.25237731,-1.42941069,0.0214760037,0.0280705382,0.00480666524,1,1,
0.414218,2.28956705,2.25168777,3.67564928,0.0214762732,0.0287111491,0.0377666555,1,1,
0.422421,2.28794843,2.25089667,-0.723517563,0.0216527839,0.0292452381,0.0243385113,1,1,
0.430624,2.28615797,2.24961841,-3.48338267,0.0219148195,0.029609697,-0.0176244392,1,1,
0.438828,2.28429898,2.24737399,2.81037324,0.0221641908,0.0296711109,0.0509659108,1,1,
0.447031,2.28282275,2.24451231,2.0741142,0.0223558172,0.0293135315,0.0472273934,1,1,
0.455234,2.28178615,2.24165495,-3.57242042,0.0224239311,0.0287166365,-0.0163274026,1,1,
