---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,2.11102,1.95367113,0.171437727,0.0168321779,0.0254939893,0.02006592,1,1,
0.094295,2.10991369,1.95381844,-0.0149540696,0.0170314751,0.0257509024,0.0131992553,1,1,
0.102499,2.10920265,1.9539002,-0.499053926,0.0172728163,0.0258004687,0.00854518265,1,1,
0.110702,2.10816675,1.95344562,0.0907925657,0.0174683039,0.0254919153,-0.00358592486,1,1,
0.118905,2.10621358,1.95223834,0.8886227,0.0175351736,0.0249398165,0.0297555467,1,1,
0.127108,2.10367182,1.95052706,-0.812936796,0.017521842,0.0244785813,0.0198370312,1,1,
0.135311,2.10108352,1.94885712,-0.785241249,0.0175681098,0.0243469222,0.0148777734,1,1,
0.143514,2.09923486,1.94781784,1.51745659,0.0177319141,0.0244909085,0.0336466567,1,1,
0.151718,2.09824786,1.94743784,0.00335703604,0.0178934308,0.02461276,0.0279244362,1,1,
0.159921,2.09803147,1.9474316,-1.87383648,0.0178762552,0.0244716593,0.00450148015,1,1,
0.168124,2.09840471,1.94722809,1.07982116,0.0176122785,0.024140837,0.0197607349,1,1,
0.176327,2.09916502,1.94672305,1.60840175,0.0172349941,0.0238426087,0.0317392499,1,1,
0.18453,2.10009074,1.94623899,-2.29598376,0.0169823082,0.0236579959,0.00442518387,1,1,
0.192733,2.10064198,1.94617655,-0.41604358,0.0169967147,0.0235527325,0.0123599963,1,1,
0.200936,2.10083375,1.94693102,2.84821619,0.0172324944,0.0235086098,0.0479903562,1,1,
0.20914,2.10087754,1.94821796,-1.3287759,0.0175452536,0.0235035153,-0.00106814783,1,1,
0.217343,2.10115335,1.94931023,-2.33581042,0.0178387088,0.0235674559,-0.00251777703,1,1,
0.225546,2.10142417,1.94916011,2.80205695,0.0181287391,0.0237891092,0.0388348033,1,1,
0.233749,2.10087713,1.94729666,0.870006409,0.0184189293,0.0242149126,0.0314340648,1,1,
0.241952,2.09895369,1.94411114,-3.48735008,0.0186312452,0.0247773465,-0.0209814753,1,1,
0.250155,2.09579595,1.94043052,1.1874752,0.0186879571,0.0251899175,0.0458540605,1,1,
0.258359,2.09248904,1.93704967,2.98379467,0.0186080093,0.0250294358,0.0502029481,1,1,
0.266562,2.09003755,1.93440787,-3.11037019,0.0184564636,0.0241311573,0.00686666463,1,1,
0.274765,2.08892359,1.93274729,-1.27697073,0.0182905574,0.0228196003,0.0238807337,1,1,
0.282968,2.08878384,1.93203894,3.8718833,0.0181318102,0.0217370514,0.0659962767,1,1,
0.291171,2.089034,1.93224141,-0.955229347,0.017976084,0.0214391682,0.0148014771,1,1,
0.299374,2.08952952,1.93319356,-3.39144566,0.017830127,0.0220466501,-0.0125888852,1,1,
0.307577,2.09046019,1.93469861,2.97990356,0.017724644,0.0232182407,0.0558488723,1,1,
0.31578,2.09206968,1.9362232,1.75008393,0.0177048557,0.0244094854,0.0460829493,1,1,
0.323984,2.09423417,1.93733276,-3.56540117,0.0178424999,0.0251812517,-0.0316629536,1,1,
0.332187,2.09635828,1.93799975,0.624790185,0.0181660938,0.0253472217,0.0411236915,1,1,
0.34039,2.09753376,1.93822777,3.62186041,0.0185517879,0.0250225693,0.0591296121,1,1,
0.348593,2.09701386,1.93793821,-2.71271401,0.0187885352,0.024511024,-0.00404370251,1,1,
0.356796,2.0945796,1.93658315,-1.98538163,0.0187975868,0.0241040076,0.00328073977,1,1,
0.364999,2.09064484,1.93399988,3.67625965,0.0186678037,0.0239577313,0.0703451643,1,1,
0.373203,2.0860672,1.93070491,-0.196691794,0.0184885204,0.0240965286,0.0186162908,1,1,
0.381406,2.08184599,1.92765317,-3.43546861,0.0182657838,0.0244840323,-0.0169377728,1,1,
0.389609,2.07848439,1.92553331,2.20549638,0.0179631741,0.0250096026,0.0620288705,1,1,
0.397812,2.07606202,1.92416675,2.02345347,0.0175362428,0.0254832497,0.038758507,1,1,
0.406015,2.07459331,1.92305517,-3.20619831,0.0170355487,0.0257663107,-0.0181585131,1,1,
0.414218,2.07418061,1.92193009,-0.110324412,0.0167023142,0.02586898,0.014496292,1,1,
0.422421,2.07486117,1.9211251,2.95884579,0.0167143365,0.0258399345,0.0444807276,1,1,
0.430624,2.07613361,1.92108997,-1.53324992,0.0169625901,0.0255924068,-0.0159459212,1,1,
0.438828,2.07746437,1.92194545,-1.90717795,0.0172597701,0.0249400886,-0.00503555406,1,1,
0.447031,2.07847463,1.92311106,2.41248817,0.0175336169,0.0238548981,0.0350199896,1,1,
0.455234,2.07914443,1.92362272,0.338908048,0.0177564732,0.0226988058,0.0141148106,1,1,
0.463437,2.07928893,1.92265962,-2.32955412,0.0178773166,0.0219910727,-0.00732444227,1,1,
0.47164,2.07843715,1.92007781,0.941343425,0.0178566784,0.0219953454,0.0090029603,1,1,
0.479843,2.07637331,1.91659405,1.37539293,0.0177510046,0.0225286597,0.0246436964,1,1,
0.488047,2.07329354,1.9131023,-1.44810327,0.017719275,0.0231379189,-0.00389110996,1,1,
0.49625,2.07029988,1.91043884,-0.489898373,0.0178667328,0.0235009601,0.00793481246,1,1,
0.504453,2.06843085,1.90879011,1.32183294,0.0181315226,0.0236397386,0.0240333262,1,1,
0.512656,2.06818988,1.90794536,-0.325708792,0.0183221927,0.0236863434,0.00801110874,1,1,
0.520859,2.06891365,1.90747292,-0.833307901,0.0182866077,0.0236136432,0.0185399945,1,1,
0.529062,2.06951887,1.9069096,0.503021332,0.0179868267,0.023396813,0.0231177709,1,1,
0.537265,2.06962453,1.90620671,0.264061403,0.0175032477,0.023206779,0.0160222175,1,1,
0.545469,2.06952421,1.90566187,-0.256584368,0.0170305431,0.0232720073,0.0156407361,1,1,
0.553672,2.07001786,1.90604096,-0.162511063,0.0167742478,0.0236286356,0.0249488815,1,1,
0.561875,2.07112962,1.90772253,-0.0488296152,0.0168160043,0.024095364,0.0090029603,1,1,
0.570078,2.0724439,1.91011514,0.462508011,0.0170731762,0.0244428729,0.0266273995,1,1,
0.578281,2.07309491,1.91179735,-0.033722953,0.017376316,0.0245744446,0.0167088839,1,1,
0.586484,2.07244486,1.91155205,-0.773110141,0.0175376565,0.0245571089,0.0204474013,1,1,
0.594687,2.07063603,1.90910129,0.379650258,0.0174740618,0.0244847372,0.0135044404,1,1,
0.602891,2.06817415,1.90529959,1.0011597,0.0172845802,0.0243249757,0.0350199896,1,1,
0.611094,2.0658935,1.90159927,-1.25400555,0.0171555726,0.0239127543,0.0104525895,1,1,
0.619297,2.06420052,1.89911865,-0.530793176,0.017181366,0.0231887371,0.00953703421,1,1,
0.6275,2.06351333,1.89822731,1.86613056,0.0173111501,0.0223977864,0.035401471,1,1,
0.635703,2.06370279,1.89829752,-0.555818354,0.017412309,0.0219718894,0.0128940703,1,1,
0.643906,2.06419554,1.89855302,-1.88970611,0.0173451958,0.0221349195,0.000381481368,1,1,
0.652109,2.0642772,1.89843265,1.79517502,0.0170328454,0.0226752938,0.0373088778,1,1,
0.660313,2.06339752,1.89795792,1.07943968,0.0165557315,0.0232501976,0.0270851772,1,1,
0.668516,2.0620108,1.89748756,-2.68555254,0.0161607716,0.0237306966,0.000686666463,1,1,
0.676719,2.06096637,1.89709532,0.351268044,0.0160519285,0.0241722888,0.00915555284,1,1,
0.684922,2.06099026,1.89673924,2.78931547,0.0162332632,0.0245510916,0.0488296152,1,1,
0.693125,2.06173578,1.89611874,-2.18176824,0.0166131739,0.0246829175,-0.00778221992,1,1,
0.701328,2.06219246,1.894965,-1.65906247,0.0171341458,0.0244482646,0.0179296243,1,1,
0.709531,2.06140839,1.89300034,3.25487533,0.017732109,0.0239954202,0.0561540574,1,1,
0.717735,2.05909098,1.89034027,-0.152363659,0.0182420408,0.0236262324,0.0277718436,1,1,
0.725938,2.05602985,1.88760252,-3.41273232,0.0184814367,0.0235187927,-0.015335551,1,1,
0.734141,2.0532252,1.88545036,2.11416974,0.0184418367,0.0236237305,0.0392162847,1,1,
0.742344,2.05131281,1.88423021,2.256386,0.0182944368,0.0237418946,0.0376140629,1,1,
0.750547,2.05013681,1.88389518,-3.49398785,0.0181090062,0.0236213209,-0.0205236976,1,1,
0.75875,2.04929242,1.88415047,-0.187841426,0.0178184077,0.0231464331,0.0138096255,1,1,
0.766953,2.0485712,1.88459173,3.77460555,0.0174706269,0.0224697259,0.0460829493,1,1,
0.775157,2.04790496,1.88506164,-2.02414014,0.017231478,0.0219654968,0.00488296152,1,1,
0.78336,2.04730827,1.8853811,-2.59521775,0.0171305426,0.0219687684,0.0180059206,1,1,
0.791563,2.04675988,1.88548911,3.53183081,0.0170675315,0.0224827349,0.0595873898,1,1,
0.799766,2.04648623,1.88541794,0.620746483,0.0169566234,0.0232375717,0.0319681387,1,1,
0.807969,2.0467753,1.88523124,-3.55670339,0.0168141087,0.0239559265,-0.0120548112,1,1,
0.816172,2.04725189,1.88492178,1.70110172,0.0167382613,0.0244477759,0.0518051698,1,1,
0.824375,2.04678125,1.88401445,2.83158361,0.016799332,0.0245517928,0.0543992431,1,1,
0.832579,2.04438091,1.88194515,-3.29004791,0.0169696875,0.0241960227,-0.0143436995,1,1,
0.840782,2.04034668,1.87847211,-0.868633076,0.0171185145,0.0235632325,0.0101474044,1,1,
0.848985,2.03607381,1.87436454,3.55151524,0.017073854,0.0230280469,0.0712607196,1,1,
0.857188,2.03298477,1.87094047,-1.15504929,0.0168058925,0.0228343088,0.00473036897,1,1,
0.865391,2.03163433,1.86894557,-2.79732658,0.0165698984,0.0228867077,0.00541703543,1,1,
0.873594,2.03134967,1.86812562,2.67441328,0.0166960366,0.0228920541,0.050737022,1,1,
0.881797,2.03109579,1.8675585,1.08050783,0.0172020025,0.0227731169,0.0309762871,1,1,
0.890001,2.03028439,1.86653139,-3.13013092,0.0177871398,0.0227724035,-0.0211340678,1,1,
0.898204,2.02898835,1.86506438,0.731223487,0.0181820545,0.0230693321,0.0268562883,1,1,
0.906407,2.02779251,1.8638642,2.32337413,0.0183601438,0.0235471922,0.037919248,1,1,
0.91461,2.02719039,1.86367598,-1.9348735,0.0183849824,0.0239161434,0.00701925718,1,1,
0.922813,2.02736186,1.86468876,-1.07837153,0.0182483053,0.0239450865,0.0148777734,1,1,
0.931016,2.0276626,1.86615063,2.26699118,0.017926675,0.0235944079,0.0428022095,1,1,
0.939219,2.02716744,1.86691994,-0.271767327,0.0174850699,0.0229822863,0.0125888852,1,1,
0.947423,2.02529108,1.86630522,-1.84514908,0.0170873441,0.0223195961,0.00732444227,1,1,
0.955626,2.02226015,1.86442535,1.17015595,0.0169249,0.0218757056,0.0389873959,1,1,
0.963829,2.01914492,1.86203731,0.768074587,0.0170399261,0.0218731933,0.0203711051,1,1,
0.972032,2.01683784,1.85971766,-1.28513443,0.0172702786,0.0223355938,0.014496292,1,1,
0.980235,2.0157668,1.85780707,-0.0664540544,0.0173582764,0.0230505916,0.0330362865,1,1,
0.988438,2.01542968,1.85639569,0.908993805,0.0171939292,0.0237103778,0.0139622181,1,1,
0.996641,2.01528718,1.85553402,-0.366832484,0.0169012954,0.024078637,0.00488296152,1,1,
1.004845,2.01501707,1.85517631,-0.475554674,0.0166162668,0.0240548823,0.0197607349,1,1,
1.013048,2.01447483,1.85491561,0.274285104,0.0164034608,0.0237175969,0.0133518479,1,1,
1.021251,2.01378963,1.85447227,0.125431074,0.0163142645,0.0232788767,0.000534073916,1,1,
1.029454,2.01297435,1.85394952,0.0271614734,0.0163599413,0.0229612908,0.0106814783,1,1,
1.037657,2.01240277,1.85383145,-0.317850276,0.0165391989,0.0228904167,0.0307473983,1,1,
1.04586,2.01218151,1.85437694,-0.191732536,0.0168641519,0.0230188916,0.00694296091,1,1,
1.054063,2.01209277,1.85522982,0.782113102,0.0173071045,0.0231710848,0.0237281411,1,1,
1.062267,2.01129073,1.85552028,-0.197225867,0.0177072069,0.023204444,0.0115970336,1,1,
1.07047,2.00902189,1.85452951,-1.03930784,0.0178561064,0.0231817289,0.0115207373,1,1,
1.078673,2.00569156,1.85221604,0.792489395,0.0176821857,0.0232559694,0.0190740684,1,1,
1.086876,2.00246543,1.8494058,0.897244179,0.0173443058,0.0234472622,0.0347911008,1,1,
1.095079,2.00075979,1.84729247,-1.63090915,0.0171209027,0.0236290419,0.00373851741,1,1,
1.103282,2.00090124,1.84655253,-0.0968962676,0.0171312471,0.0236742161,0.000915555284,1,1,
1.111485,2.00231914,1.84711814,2.05191198,0.0172775788,0.0236158627,0.039292581,1,1,
1.119689,2.00397908,1.84810535,-1.21074557,0.017440025,0.0236170474,0.0114444411,1,1,
1.127892,2.005068,1.84867591,-1.63876766,0.0176319542,0.0238456336,-0.00785851619,1,1,
1.136095,2.00556675,1.84857926,2.33748894,0.0178875682,0.0243505658,0.0399792474,1,1,
