---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,0.762817629,0.686888174,2.03833125,0.0822043912,0.0865106648,-0.182882168,1,1,
0.094295,0.761484064,0.686746323,1.26895962,0.0820293827,0.0865261644,-0.24712363,1,1,
0.102498,0.759921789,0.686780627,1.63167211,0.0821475499,0.0860705462,-0.201498459,1,1,
0.110701,0.758737689,0.686591653,2.04863124,0.0823918994,0.0853727167,-0.209356975,1,1,
0.118904,0.757825397,0.685913488,1.59131138,0.082581823,0.0847910574,-0.205542161,1,1,
0.127108,0.757177856,0.684838482,1.50006104,0.0825121184,0.0845871935,-0.210196234,1,1,
0.135311,0.757025653,0.683728981,1.77968688,0.0821631996,0.0848328725,-0.201651051,1,1,
0.143514,0.756859765,0.683135129,1.75763726,0.0818630354,0.0853383977,-0.215842158,1,1,
0.151717,0.75613804,0.683212756,1.73894467,0.0818808096,0.0857230499,-0.182500687,1,1,
0.15992,0.755475937,0.683388363,1.5335551,0.0821035585,0.0858041016,-0.24079104,1,1,
0.168123,0.755385941,0.683231989,1.63266396,0.0823377491,0.0857316283,-0.228736229,1,1,
0.176326,0.755470701,0.683058213,1.98683126,0.082633975,0.0857431758,-0.168996246,1,1,
0.18453,0.755538423,0.683308038,1.63327433,0.0830382789,0.085910891,-0.20249031,1,1,
0.192733,0.75585095,0.683988753,1.2858211,0.083370527,0.0860575746,-0.265816218,1,1,
0.200936,0.756164335,0.684766286,1.97882015,0.0834055728,0.0859557607,-0.15541551,1,1,
0.209139,0.756144163,0.685179546,2.06961272,0.0830781467,0.0856311801,-0.157704398,1,1,
0.217342,0.756225158,0.685021117,1.09355449,0.0825264811,0.0853663625,-0.288476211,1,1,
0.225545,0.756426638,0.684646945,1.61702322,0.0819827893,0.0854015482,-0.225150304,1,1,
0.233748,0.756116605,0.684465994,2.48947111,0.0816388256,0.0857413035,-0.094225898,1,1,
0.241952,0.755472159,0.684415372,1.28864406,0.0815123475,0.0861731272,-0.267952513,1,1,
0.250155,0.755281234,0.68443,1.03297525,0.0815135706,0.0863623884,-0.268181402,1,1,
0.258358,0.755486942,0.684495998,2.52265999,0.0816218011,0.0861084631,-0.107654042,1,1,
0.266561,0.755536794,0.684380769,1.9123661,0.0818777738,0.0856239189,-0.183416242,1,1,
0.274764,0.755574043,0.684076848,0.605182043,0.082233267,0.085381997,-0.335703604,1,1,
0.282967,0.755692788,0.684009098,2.09326456,0.0825701718,0.0855760708,-0.113376263,1,1,
0.29117,0.755677703,0.684414508,2.63344218,0.0827940957,0.085912277,-0.106662191,1,1,
0.299374,0.755919066,0.685108767,0.669194617,0.0828475368,0.0859756692,-0.326395459,1,1,
0.307577,0.756838342,0.685801087,1.28872036,0.0827932389,0.0856255319,-0.217749565,1,1,
0.31578,0.7579938,0.686220766,2.99287393,0.082896106,0.085142869,-0.0250251778,1,1,
0.323983,0.759026258,0.686286452,1.34762108,0.0833532549,0.0848754035,-0.258491775,1,1,
0.332186,0.7603725,0.686455683,0.55528428,0.0840721226,0.0847590996,-0.321893979,1,1,
0.340389,0.761789827,0.687130267,2.73735771,0.0847747721,0.0844879051,-0.0666066469,1,1,
0.348592,0.762352636,0.68783267,2.30254524,0.0851047604,0.0840122297,-0.149998474,1,1,
0.356796,0.7620849,0.68784304,0.265434736,0.0847925265,0.0835583769,-0.376750999,1,1,
0.364999,0.761545147,0.686968381,1.98118534,0.0840211015,0.0833743605,-0.139164403,1,1,
0.373202,0.760620334,0.685503232,2.95571764,0.0833769806,0.0836045535,-0.0813318278,1,1,
0.381405,0.759122243,0.683988731,0.707953124,0.0831813977,0.0841617796,-0.315332499,1,1,
0.389608,0.757487512,0.682874485,1.00856044,0.083263962,0.0847383762,-0.261009552,1,1,
0.397811,0.755792349,0.682077599,3.06062502,0.083369969,0.0851245356,-0.0352488784,1,1,
0.406014,0.753899376,0.681264317,1.60855434,0.083387483,0.0853559994,-0.249641408,1,1,
0.414217,0.752539745,0.680550423,0.379650258,0.0832693009,0.0855914652,-0.339594714,1,1,
0.422421,0.752385551,0.680253367,2.55546739,0.0830756303,0.0860008234,-0.0719473861,1,1,
0.430624,0.752939452,0.680389004,2.46772668,0.0830139335,0.0865541788,-0.127719962,1,1,
0.438827,0.753424768,0.680841139,0.386745811,0.08318454,0.0869187818,-0.364925077,1,1,
0.44703,0.753646169,0.681517679,1.67653432,0.0834299545,0.0867866595,-0.157475509,1,1,
0.455233,0.753257287,0.682176992,2.8666036,0.0835403996,0.0862018614,-0.0774407178,1,1,
0.463436,0.752048886,0.682672197,1.04586932,0.0834375379,0.0854760537,-0.284051027,1,1,
0.471639,0.75075879,0.682946798,0.913953063,0.083150524,0.0849060757,-0.255668813,1,1,
0.479843,0.74979999,0.682715386,2.71340068,0.0828256606,0.0846105915,-0.0662251656,1,1,
0.488046,0.748637462,0.681862938,1.8202765,0.0827272215,0.0845326571,-0.203176977,1,1,
0.496249,0.747268713,0.680790763,0.6613361,0.0829119606,0.0845709676,-0.310068056,1,1,
0.504452,0.74658746,0.680022547,2.110889,0.0831306044,0.0847097154,-0.120014039,1,1,
0.512655,0.746715381,0.679724358,2.32352672,0.0831770452,0.0848964854,-0.145268105,1,1,
0.520858,0.747003626,0.679834282,0.94882046,0.0831110506,0.085008245,-0.281609546,1,1,
0.529061,0.747344065,0.680094532,1.49166845,0.0831348794,0.0849941323,-0.197683645,1,1,
0.537264,0.747550193,0.680077017,2.36991485,0.0833292091,0.0849320974,-0.133976257,1,1,
0.545468,0.746970928,0.679751059,1.4700766,0.0835461999,0.0848727191,-0.224234748,1,1,
