---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086091375,1.81813483,1.69544281,4.79087191,0.0583059276,0.0528950321,-0.290078433,1,1,
0.094294375,1.81703051,1.69257919,4.80674154,0.0583355561,0.0527202132,-0.27497177,1,1,
0.102498375,1.81543553,1.69061095,4.74539933,0.0584160712,0.0524648981,-0.294122135,1,1,
0.110701375,1.81473687,1.6893918,4.20850246,0.0585811542,0.0524867723,-0.298852504,1,1,
0.118904375,1.8148234,1.6889145,4.58334605,0.0587808175,0.0531000601,-0.286568804,1,1,
0.127107375,1.81410262,1.6893457,5.55772576,0.0589341474,0.0541427271,-0.248420667,1,1,
0.135310375,1.81305679,1.69012928,4.03424177,0.058832309,0.055081504,-0.289544359,1,1,
0.143513375,1.81278566,1.69081043,3.83320109,0.0583494998,0.0554332185,-0.317316202,1,1,
0.151716375,1.8124556,1.69155893,5.89129307,0.0577050298,0.0550702317,-0.240104373,1,1,
0.159919375,1.81156584,1.69238676,4.90966521,0.0572128369,0.0542971336,-0.260475478,1,1,
0.168122375,1.81146402,1.69315209,2.95007172,0.057039604,0.0536282012,-0.330820643,1,1,
0.176325375,1.81188205,1.69399234,5.34752953,0.0572399397,0.0532839715,-0.269478439,1,1,
0.184529375,1.81122431,1.69454499,6.30870998,0.0577236098,0.0530639975,-0.235068819,1,1,
0.192732375,1.81010571,1.69387343,2.76757103,0.0581529195,0.0527527687,-0.335932493,1,1,
0.200935375,1.80944924,1.69203523,3.95245216,0.0581812171,0.0524107184,-0.297173986,1,1,
0.209138375,1.80830229,1.6898208,7.10760826,0.0578070253,0.0523021786,-0.205465865,1,1,
0.217341375,1.80654049,1.68751345,3.884167,0.0573542275,0.0525456789,-0.293435469,1,1,
0.225544375,1.80575382,1.6854779,2.34664449,0.0571535071,0.0528691481,-0.344248787,1,1,
0.233747375,1.80565085,1.68431465,6.80784021,0.057298004,0.0529034042,-0.203863643,1,1,
0.241950375,1.80469597,1.68390563,5.8005005,0.0576162158,0.0526019101,-0.257347331,1,1,
0.250153375,1.80355925,1.68386878,1.58917508,0.0579112503,0.0521637678,-0.376369518,1,1,
0.258356375,1.80296933,1.68392351,5.22270882,0.0582021505,0.0517431556,-0.276573992,1,1,
0.266560375,1.80189628,1.68330174,7.48329112,0.0585424042,0.0514759415,-0.188909574,1,1,
0.274763375,1.80038369,1.68150612,2.29270302,0.0586528737,0.0515281628,-0.378963591,1,1,
0.282966375,1.79999646,1.6794054,3.07252724,0.0581947485,0.0519240066,-0.352946562,1,1,
0.291169375,1.80029164,1.67803949,7.85691397,0.0573255037,0.0524991831,-0.198141423,1,1,
0.299372375,1.79982371,1.6773718,4.30967132,0.0565457824,0.0530482615,-0.305795465,1,1,
0.307575375,1.79947822,1.67724109,1.42277291,0.0561521098,0.0534173128,-0.400479141,1,1,
0.315778375,1.79987495,1.67761672,6.76587725,0.0561959155,0.0535711802,-0.23483993,1,1,
