---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,2.07958895,1.88082988,6.4680166,0.0585979877,0.0533715898,-0.281151769,1,1,
0.094295,2.08079246,1.87920566,5.80568865,0.0585971308,0.0538866586,-0.325479904,1,1,
0.102498,2.08063729,1.87771161,4.65781121,0.0585440929,0.0544081451,-0.338908048,1,1,
0.110701,2.08014777,1.87654104,5.38186285,0.0584754354,0.0546973959,-0.314951018,1,1,
0.118904,2.07995299,1.87546434,5.88419752,0.0584902042,0.0547396832,-0.309839167,1,1,
0.127108,2.07864804,1.87489741,5.42565691,0.058704337,0.0545931926,-0.322504349,1,1,
0.135311,2.07653565,1.8749169,5.18456069,0.0589568032,0.0542562579,-0.30671102,1,1,
0.143514,2.07541582,1.87468547,5.19402142,0.0589387359,0.0537160959,-0.329676199,1,1,
0.151717,2.07483765,1.87414221,5.72191534,0.0586222859,0.0531005928,-0.299081393,1,1,
0.15992,2.07322238,1.87369017,5.91830195,0.0581922402,0.052734703,-0.313196203,1,1,
0.168123,2.07193658,1.87354003,4.55229347,0.0578019347,0.0528435947,-0.32738731,1,1,
0.176326,2.07149234,1.87387211,5.10277108,0.0575771278,0.0532385772,-0.3234962,1,1,
0.18453,2.07072771,1.87504029,6.8160802,0.0575834595,0.0535232389,-0.273827326,1,1,
0.192733,2.07008677,1.87627209,4.8300882,0.0576755263,0.0535496391,-0.332880642,1,1,
0.200936,2.07073362,1.87680268,3.95748772,0.0576614395,0.0535338197,-0.351878414,1,1,
0.209139,2.07124463,1.87663484,6.94044313,0.057583341,0.0536359262,-0.28603473,1,1,
0.217342,2.07000894,1.87548782,6.20639668,0.0575826267,0.0537380956,-0.272377697,1,1,
0.225545,2.06871216,1.87333647,3.10502945,0.0577123634,0.0536422433,-0.385448775,1,1,
0.233748,2.06787382,1.87085884,5.77631458,0.0579549038,0.0533549517,-0.298471023,1,1,
0.241951,2.06633698,1.86880875,7.76902066,0.0581815449,0.0531679202,-0.251396222,1,1,
0.250155,2.06471407,1.86680197,3.36176641,0.058135515,0.0533479082,-0.370113224,1,1,
0.258358,2.06459168,1.86492803,3.90774255,0.0577692518,0.0538315473,-0.365230262,1,1,
0.266561,2.06507071,1.86362568,8.41547899,0.0574461846,0.0543248266,-0.224387341,1,1,
0.274764,2.06501043,1.86267367,5.08522294,0.0574737136,0.054679234,-0.321817682,1,1,
0.282967,2.06565072,1.86215008,2.22724082,0.0577638433,0.0549831175,-0.399487289,1,1,
0.29117,2.06680777,1.86235406,7.45948668,0.0581253773,0.0553475339,-0.269173254,1,1,
0.299373,2.06707195,1.86292794,7.46795557,0.0584741949,0.05577059,-0.249870296,1,1,
0.307577,2.06707277,1.86316455,1.78319651,0.0585923181,0.0560433604,-0.41215247,1,1,
0.31578,2.06794348,1.86328311,5.33318583,0.0582516114,0.055869966,-0.308160649,1,1,
0.323983,2.0681077,1.86317299,8.5073397,0.0576317219,0.0552695753,-0.212256233,1,1,
0.332186,2.06648448,1.86235409,3.26425977,0.0571486318,0.0546204576,-0.35134434,1,1,
0.340389,2.06477903,1.86102264,2.80289621,0.0570024991,0.0542155785,-0.380794702,1,1,
0.348592,2.06352226,1.85958067,8.507416,0.057132615,0.0539763908,-0.215918455,1,1,
0.356795,2.06194652,1.85799065,5.8803827,0.0574265357,0.0536313178,-0.290002136,1,1,
0.364998,2.06111005,1.85650219,1.32663961,0.0577551446,0.0530838719,-0.413678396,1,1,
0.373202,2.06208414,1.85582352,7.15071566,0.058035158,0.0526127038,-0.274513993,1,1,
0.381405,2.06307167,1.85557344,8.15683462,0.058330282,0.0525520049,-0.236365856,1,1,
0.389608,2.06305077,1.85549379,1.84774316,0.0587279514,0.0528564004,-0.410473952,1,1,
0.397811,2.06329291,1.85573199,4.52482681,0.0591968638,0.0531770756,-0.322962127,1,1,
0.406014,2.06360286,1.85613537,8.5073397,0.0596231043,0.0532998112,-0.203176977,1,1,
0.414217,2.06271229,1.85663069,3.97762993,0.0598078745,0.0532469682,-0.354319895,1,1,
0.42242,2.06171849,1.85746024,2.36877041,0.0595532679,0.0531460057,-0.402081362,1,1,
0.430623,2.06180842,1.8585102,8.32255013,0.0589475078,0.0530924423,-0.237434004,1,1,
0.438827,2.06158307,1.85899111,6.44009217,0.0583639561,0.0530347002,-0.280846583,1,1,
0.44703,2.06080847,1.85901409,1.8366802,0.0579547923,0.0528243527,-0.418408765,1,1,
0.455233,2.06089008,1.85870452,6.23081149,0.0576216882,0.0524733344,-0.289696951,1,1,
0.463436,2.06133717,1.85773125,8.0262917,0.0573734835,0.052256365,-0.249259926,1,1,
0.471639,2.06060479,1.85631854,3.01248207,0.057273179,0.0524725962,-0.380947295,1,1,
0.479842,2.0595386,1.85498757,4.14242988,0.0571820432,0.0531444348,-0.364162114,1,1,
0.488046,2.05863947,1.85341623,8.03567614,0.0569765492,0.0539787095,-0.236976226,1,1,
0.496249,2.05644901,1.85127854,4.91584521,0.0568004363,0.0545298003,-0.337687307,1,1,
