---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086092,1.62764698,1.38809215,5.56245613,0.0579718405,0.0558067065,-0.259559923,1,1,
0.094295,1.62720918,1.38758916,3.35695975,0.0580750205,0.0556343251,-0.367671743,1,1,
0.102498,1.62579555,1.38752969,2.9771569,0.0581606228,0.0550807922,-0.358973968,1,1,
0.110701,1.62494466,1.38774687,4.96734519,0.0581497444,0.0544710104,-0.317850276,1,1,
0.118905,1.6242181,1.38801169,4.27228614,0.0580609939,0.0541265832,-0.311975463,1,1,
0.127108,1.62255716,1.38842298,3.15424055,0.0579366293,0.0541412886,-0.372096927,1,1,
0.135311,1.62097451,1.38857869,4.10893582,0.0577496821,0.0544012116,-0.318765831,1,1,
0.143514,1.62000931,1.38790517,4.49087497,0.0575985931,0.0546469366,-0.327463607,1,1,
0.151717,1.61882974,1.38668757,3.79665517,0.0577198216,0.0546272069,-0.336695456,1,1,
0.15992,1.61785974,1.38549404,3.67786187,0.0581388777,0.0543807866,-0.351268044,1,1,
0.168123,1.61807513,1.38449131,4.06048769,0.0586876035,0.0542144227,-0.318308054,1,1,
0.176327,1.61876832,1.38396998,4.23177282,0.0593057696,0.0543153222,-0.324793237,1,1,
0.18453,1.61919596,1.38410437,4.04248177,0.0598988579,0.0545326267,-0.319528794,1,1,
0.192733,1.62029708,1.38441135,3.4664449,0.0601480509,0.0545181702,-0.361491745,1,1,
0.200936,1.62175685,1.38477791,4.01188696,0.0598902176,0.0540459271,-0.330973235,1,1,
0.209139,1.62203372,1.38548109,4.82062746,0.0593803695,0.0533107078,-0.313196203,1,1,
