---,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.1,Analog In. | Ch.2,Analog In. | Ch.2,Analog In. | Ch.2,Analog Out. | Ch.1,Analog Out. | Ch.2,
Time(s),AIn-1 - Dem (AOut-1),AIn-1 - Dem (AOut-2),AIn-1 - Raw,AIn-2 - Dem (AOut-1),AIn-2 - Dem (AOut-2),AIn-2 - Raw,AOut-1,AOut-2,
0.086091,2.96180993,2.56707706,1.48892178,0.0212507395,0.0243401223,0.0383770257,1,1,
0.094295,2.95880334,2.56490391,5.20424512,0.0214874608,0.0246202008,0.0534073916,1,1,
0.102498,2.95578713,2.56272504,-3.58172857,0.0216166079,0.0243990459,-0.0276192511,1,1,
0.110701,2.95326453,2.56017996,-2.51808222,0.0215247022,0.0237326261,-0.0101474044,1,1,
0.118904,2.95107994,2.55665804,5.95164342,0.0213305519,0.0228615224,0.0607318339,1,1,
0.127107,2.94931944,2.55229262,-0.854365673,0.0212539779,0.0220882007,0.0106814783,1,1,
0.13531,2.94770165,2.54742895,-3.60194708,0.0213931701,0.0216605724,-0.0199133274,1,1,
0.143513,2.94638359,2.54283952,4.05301065,0.0216749749,0.021652891,0.0545518357,1,1,
0.151716,2.94477976,2.53843353,3.03827021,0.0219844603,0.0218408393,0.0344096194,1,1,
0.15992,2.94308239,2.53478864,-3.60446486,0.0222905407,0.021915198,-0.0308999908,1,1,
0.168123,2.94174697,2.53274427,0.313653981,0.0225540126,0.0218111806,0.014496292,1,1,
0.176326,2.9411204,2.53256755,5.22583697,0.0226473483,0.021731355,0.0584429456,1,1,
0.184529,2.94117817,2.5338768,-3.18910794,0.0225062414,0.0218122643,0.00160222175,1,1,
0.192732,2.94143554,2.53559176,-3.11387982,0.0222248262,0.0219002157,-0.00633259072,1,1,
0.200935,2.94181086,2.53700221,4.82161931,0.0219310073,0.0217826641,0.037919248,1,1,
0.209138,2.94150027,2.53724418,0.323877682,0.0216833163,0.0215573477,0.0290688803,1,1,
0.217341,2.94056845,2.53627886,-3.58821375,0.0215026015,0.0215654936,-0.0260170293,1,1,
0.225544,2.9388668,2.53451689,2.38196966,0.0213527792,0.02201229,0.0393688772,1,1,
0.233748,2.93679653,2.53275454,2.8993347,0.0211400852,0.0227230838,0.0350962859,1,1,
0.241951,2.93447889,2.53135173,-3.52870266,0.0207872288,0.02337245,-0.0157170324,1,1,
0.250154,2.932029,2.5299119,-0.703299051,0.0203724507,0.0237481598,0.0180822169,1,1,
0.258357,2.92971637,2.52768391,3.55624561,0.0200923356,0.0238614796,0.0384533219,1,1,
0.26656,2.9272131,2.52399804,-1.28833888,0.0200625052,0.0238299893,-0.00358592486,1,1,
0.274763,2.92511157,2.51952352,-2.48298593,0.0202252883,0.0236994083,0.0100711081,1,1,
0.282966,2.92361658,2.51522405,2.25699637,0.0204609895,0.0235457765,0.040971099,1,1,
0.29117,2.92350805,2.51222566,0.783944212,0.020682762,0.0235264067,0.0147251808,1,1,
0.299373,2.92434224,2.51048818,-2.16246529,0.020852697,0.0236424821,0.00427259133,1,1,
0.307576,2.92586924,2.50967519,0.409634693,0.0209869137,0.0236283499,0.0318155461,1,1,
0.315779,2.92797101,2.50949576,1.3389996,0.0210818291,0.0233186962,0.00686666463,1,1,
0.323982,2.93018281,2.50940275,-0.673772393,0.0210611617,0.0228168208,0.0117496261,1,1,
0.332185,2.93230044,2.50929779,-0.767159032,0.0209157953,0.0223269218,0.0198370312,1,1,
0.340388,2.9334629,2.50908753,0.614719077,0.0208288881,0.0220273124,0.0342570269,1,1,
0.348591,2.9341947,2.50938333,0.317392499,0.0210054104,0.0220210408,0.0169377728,1,1,
0.356795,2.93441348,2.51035158,-0.172658467,0.0213744596,0.0223298626,0.0229651784,1,1,
0.364998,2.93468011,2.51187506,-0.624179815,0.0216202095,0.0228318248,0.0173955504,1,1,
0.373201,2.93504932,2.51337149,0.141148106,0.0215181154,0.0232220747,0.0138859218,1,1,
0.381404,2.93533767,2.51423863,1.2038789,0.0211676048,0.0231816448,0.0361644337,1,1,
0.389607,2.93559699,2.51426159,-0.885723441,0.02087441,0.0226979058,0.0209814753,1,1,
0.39781,2.93530074,2.51332032,-1.25972777,0.0208673076,0.0221416787,0.00457777642,1,1,
0.406013,2.93497047,2.51179308,1.83942686,0.0211212168,0.0219695011,0.0234992523,1,1,
0.414216,2.9342658,2.50982007,0.499816889,0.0214633486,0.022350659,0.033722953,1,1,
0.42242,2.93363973,2.50774417,-2.64481033,0.0217011935,0.0229916766,0.00923184912,1,1,
0.430623,2.933083,2.50528127,0.847651601,0.0217083976,0.0234061901,0.0324259163,1,1,
0.438826,2.93297763,2.50254098,2.78092288,0.0215594535,0.023377865,0.0455488754,1,1,
0.447029,2.9334623,2.49983264,-2.81395917,0.0214906175,0.0230875661,-0.00358592486,1,1,
0.455232,2.93384179,2.49738975,-1.45336772,0.021594574,0.0228138601,0.00854518265,1,1,
0.463435,2.93402855,2.49534725,3.99578845,0.0217017846,0.0226170974,0.05241554,1,1,
0.471638,2.93367356,2.49336894,-0.784783471,0.0216389911,0.0223116678,0.0250251778,1,1,
0.479841,2.93346032,2.49172615,-3.56135746,0.0213916766,0.0217746677,-0.0109866634,1,1,
0.488044,2.93315878,2.49044663,3.16713462,0.0210468741,0.0212514886,0.0356303598,1,1,
0.496248,2.932831,2.48983152,2.48649556,0.0207429933,0.0212100557,0.0458540605,1,1,
0.504451,2.93226569,2.48973384,-3.59118931,0.0205865328,0.0218886342,-0.00480666524,1,1,
0.512654,2.93136,2.48984244,0.286111026,0.0206158046,0.0230311163,0.0254829554,1,1,
